Inversion Individual Karyotype
LGC1.1 P40-H01-Plate-40-ExpSkerry-044.GT 3
LGC1.1 P40-H02-Plate-40-ExpSkerry-038.GT 3
LGC1.1 P40-H03-Plate-40-ExpSkerry-042.GT 3
LGC1.1 P41-B03-Plate-41-DonCrab-128.GT 3
LGC1.1 P41-D02-Plate-41-RefW-075.GT 3
LGC1.1 P41-G02-Plate-41-ExpSkerry-013.GT 3
LGC1.1 P41-H03-Plate-41-DonCrab-147.GT 3
LGC1.1 P01-A03-SKR-05-17.GT 3
LGC1.2 P01-A02-SKR-05-09.GT 1
LGC1.2 P01-A03-SKR-05-17.GT 1
LGC1.2 P01-A08-SRK-21-E19.GT 1
LGC1.2 P01-A07-SRK-21-E11.GT 1
LGC1.2 P01-A09-SRK-21-E27.GT 1
LGC1.2 P01-A10-SRK-21-E35.GT 1
LGC1.2 P01-A11-SRK-21-E43.GT 1
LGC1.2 P01-A12-SRK-21-E51.GT 1
LGC1.2 P01-B01-SKR-05-02.GT 1
LGC1.2 P01-B02-SKR-05-10.GT 1
LGC1.2 P01-B03-SKR-05-18.GT 1
LGC1.2 P01-B08-SRK-21-E20.GT 1
LGC1.2 P01-B11-SRK-21-E44.GT 1
LGC1.2 P01-B12-SRK-21-E52.GT 1
LGC1.2 P01-C01-SKR-05-03.GT 1
LGC1.2 P01-C02-SKR-05-11.GT 1
LGC1.2 P01-C03-SKR-05-19.GT 1
LGC1.2 P01-C04-SKR-05-27.GT 1
LGC1.2 P01-C05-SKR-05-35.GT 1
LGC1.2 P01-C06-SRK-21-E05.GT 1
LGC1.2 P01-C07-SRK-21-E13.GT 1
LGC1.2 P01-C09-SRK-21-E29.GT 1
LGC1.2 P01-D02-SKR-05-12.GT 1
LGC1.2 P01-D03-SKR-05-20.GT 1
LGC1.2 P01-D04-SKR-05-28.GT 1
LGC1.2 P01-D05-SKR-05-36.GT 1
LGC1.2 P01-D07-SRK-21-E14.GT 1
LGC1.2 P01-D08-SRK-21-E22.GT 1
LGC1.2 P01-D10-SRK-21-E38.GT 1
LGC1.2 P01-D11-SRK-21-E46.GT 1
LGC1.2 P01-E03-SKR-05-21.GT 1
LGC1.2 P01-E04-SKR-05-29.GT 1
LGC1.2 P01-E05-SKR-05-37.GT 1
LGC1.2 P01-E08-SRK-21-E23.GT 1
LGC1.2 P01-E10-SRK-21-E39.GT 1
LGC1.2 P01-F01-SKR-05-06.GT 1
LGC1.2 P01-F02-SKR-05-14.GT 1
LGC1.2 P01-F04-SKR-05-30.GT 1
LGC1.2 P01-F07-SRK-21-E16.GT 1
LGC1.2 P01-F08-SRK-21-E24.GT 1
LGC1.2 P01-F09-SRK-21-E32.GT 1
LGC1.2 P01-F10-SRK-21-E40.GT 1
LGC1.2 P01-G01-SKR-05-07.GT 1
LGC1.2 P01-G02-SKR-05-15.GT 1
LGC1.2 P01-G03-SKR-05-23.GT 1
LGC1.2 P01-G04-SKR-05-31.GT 1
LGC1.2 P01-G05-SRK-21-E01.GT 1
LGC1.2 P01-G06-SRK-21-E09.GT 1
LGC1.2 P01-G07-SRK-21-E17.GT 1
LGC1.2 P01-G08-SRK-21-E25.GT 1
LGC1.2 P01-G09-SRK-21-E33.GT 1
LGC1.2 P01-G11-SRK-21-E49.GT 1
LGC1.2 P01-H01-SKR-05-08.GT 1
